Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Black Panther: Wakanda Forever,Ryan Coogler,161 min,2022,5,10,6,5,5,7,4,10,3,6,9,7,9,7,5,7,4,10,8,3
Avatar: The Way of Water,James Cameron,162 min,2022,10,6,9,6,4,4,9,7,4,6,9,6,10,7,5,5,7,10,3,8
Everything Everywhere All at Once,Dan Kwan,163 min,2022,7,5,4,7,5,10,8,6,10,10,4,5,5,4,8,3,4,8,7,7
Puss in Boots: The Last Wish,Joel Crawford,164 min,2022,6,10,3,3,3,9,3,9,5,10,6,4,4,4,6,8,6,7,6,5
Ant-Man and the Wasp: Quantumania,Peyton Reed,165 min,2023,7,3,6,8,4,3,5,6,4,9,10,7,4,10,9,3,9,7,6,4
True Spirit,Sarah Spillane,166 min,2023,9,6,3,4,6,6,9,4,10,5,5,8,8,10,6,3,3,10,6,4
Pathaan,Siddharth Anand,167 min,2023,6,3,5,9,10,9,4,10,8,5,4,6,5,3,5,4,6,6,9,3
"Lyle, Lyle, Crocodile",Josh Gordon,168 min,2022,8,3,7,5,6,8,8,5,3,5,9,4,8,7,3,4,7,3,4,10
Black Panther,Ryan Coogler,169 min,2018,6,4,10,10,6,4,7,4,3,6,5,8,9,8,5,9,5,7,8,6
Avatar,James Cameron,170 min,2009,10,8,4,10,6,4,8,9,5,7,4,10,10,3,9,8,3,9,6,6
The Super Mario Bros. Movie,Aaron Horvath,171 min,2023,9,6,3,9,8,8,4,6,5,7,10,5,6,5,6,8,7,8,9,5
The Wandering Earth II,Frant Gwo,172 min,2023,9,4,6,7,8,3,4,5,3,4,6,8,4,6,3,9,4,8,7,7
Harry Potter and the Sorcerer's Stone,Chris Columbus,173 min,2001,4,6,8,9,3,8,3,7,5,3,7,8,6,7,6,10,7,7,4,9
Black Adam,Jaume Collet-Serra,174 min,2022,3,8,8,5,8,4,5,3,3,7,8,9,5,3,7,7,6,7,9,9
Interstellar,Christopher Nolan,175 min,2014,6,5,8,5,3,5,9,7,8,8,5,10,9,8,9,8,10,7,9,8
Jurassic World: Dominion,Colin Trevorrow,176 min,2022,10,10,4,7,3,7,3,10,5,5,3,3,10,4,7,7,5,4,6,6
The Hunger Games,Gary Ross,177 min,2012,9,5,4,10,3,4,3,7,4,10,4,9,6,9,8,3,10,8,6,9
The Northman,Robert Eggers,178 min,2022,5,6,5,4,6,4,8,9,7,8,5,6,10,7,9,8,9,4,9,6
Dune,Denis Villeneuve,179 min,2021,7,9,5,6,7,8,4,4,5,9,10,9,10,7,9,5,8,3,9,4
The Flash,Andy Muschietti,180 min,2023,8,4,6,4,4,9,8,9,7,3,3,9,3,8,4,9,7,7,6,4
RRR,S.S. Rajamouli,181 min,2022,10,3,10,4,8,8,8,6,6,9,5,8,10,5,5,8,5,8,4,6
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,182 min,2001,7,3,9,7,8,3,4,6,10,4,4,8,8,8,6,10,9,4,8,6
Thor: Love and Thunder,Taika Waititi,183 min,2022,10,3,8,8,8,9,9,6,6,9,7,7,3,8,4,3,6,8,10,10
Dungeons & Dragons: Honor Among Thieves,John Francis Daley,184 min,2023,9,8,4,8,5,7,5,7,6,7,5,10,9,3,3,6,7,10,6,4
Inception,Christopher Nolan,185 min,2010,6,8,3,3,4,8,7,7,7,7,6,5,7,5,6,7,8,9,8,8
Spider-Man: No Way Home,Jon Watts,186 min,2021,4,3,8,10,7,4,3,6,8,4,10,8,5,8,5,6,8,7,7,7
Asterix & Obelix: The Middle Kingdom,Guillaume Canet,187 min,2023,7,9,4,6,5,7,7,6,5,9,10,4,10,5,5,3,6,6,10,7
Indiana Jones and the Dial of Destiny,James Mangold,188 min,2023,4,8,3,3,7,5,5,5,5,4,3,4,4,3,9,8,9,8,8,3
Gladiator,Ridley Scott,189 min,2000,4,3,6,3,8,8,8,5,9,9,4,10,8,5,4,10,7,7,6,4
The Little Mermaid,Rob Marshall,190 min,2023,6,3,3,10,10,8,10,4,7,3,4,6,4,7,10,6,8,10,5,9
Avengers: Endgame,Anthony Russo,191 min,2019,8,10,8,9,8,8,10,4,4,6,4,10,6,5,10,9,5,7,4,5
65,Scott Beck,192 min,2023,10,8,9,5,7,6,6,7,3,7,5,5,4,8,10,10,5,6,9,8
Strange World,Don Hall,193 min,2022,7,8,7,5,10,10,3,7,6,3,6,3,9,8,5,4,5,4,10,10
