Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Knock at the Cabin,M. Night Shyama lan,100min,2023,5,7,9,9,3,5,10,5,10,7,6,8,4,6,4,10,4,4,9,3
The Menu,Mark Mylod,106min,2022,6,7,9,9,3,10,5,10,10,3,7,8,9,7,8,10,10,10,8,7
M3GAN,Gerard Johnstone,102min ,2022,4,5,6,7,8,4,10,7,7,5,6,9,4,10,9,9,5,5,5,8
Viking Wolf,Stig Svendse,97min,2023,6,4,9,7,9,5,9,9,9,3,9,10,9,5,5,6,7,6,7,7
Infinity Pool,Brandon Cronenberg,117min,2023,3,6,3,10,9,7,7,4,10,9,5,3,4,7,9,7,7,4,9,8
Scream VI,"Matt Bettinell I-Olpin, Tyler Gillett",123min,2022,9,7,8,6,8,4,9,7,10,6,8,8,9,6,3,5,4,8,5,3
The Pale Blue Eye,Scott Cooper,128min,2022,9,3,9,8,8,3,10,6,10,6,3,9,10,9,9,6,6,3,10,4
X,Ti West,105min,2023,6,5,7,4,8,6,9,8,9,9,4,5,10,5,4,4,10,7,7,10
Winnie the Pooh: Blood and Honey,Rhys Frake-Waterfield,84min,2022,10,6,10,8,10,6,6,5,10,5,8,4,6,10,4,8,9,3,3,3
Blood,Brad Anderson,108min,2022,7,3,7,4,7,4,9,6,9,3,4,4,9,7,8,9,4,3,9,5
Skinamarink, Kyle Edward Ball,100min,2022,9,6,8,8,6,6,3,9,9,7,7,6,9,5,4,7,3,7,3,6
Barbarian,Zack Cregger,102min ,2022,9,9,7,5,4,10,9,5,6,6,6,5,10,6,4,6,6,9,9,3
Pearl,Ti West,102min ,2022,8,6,6,4,10,10,7,6,10,7,4,3,8,4,7,5,7,10,8,7
Smile,Parker Finn,115min,2022,6,6,3,6,7,8,4,10,7,4,6,10,7,5,7,5,8,3,10,5
Nope,Jorden Peele,130mn,2022,3,5,3,3,10,3,4,7,8,4,5,5,3,4,4,9,5,9,6,10
Jeepers Creepers: Reborn,Timo Vuorensola,88mn,2022,4,4,5,6,7,9,5,4,10,8,9,5,6,6,10,3,9,4,10,6
Bones and All,Luca Guadag nino,131mn,2022,10,4,6,6,10,8,8,5,3,5,10,5,3,5,6,4,7,3,3,9
Scream,"Matt Bettinell I-Olpin, Tyler Gillett",114mn,2022,6,3,3,3,4,6,6,10,3,10,5,3,8,4,10,9,8,6,5,8
American Psycho,Mary Harron,102mn,2000,10,9,3,7,6,3,10,8,7,8,4,6,10,8,5,8,9,9,5,9
Five Nights at Freddy's,Emma Tammi,110mn,2023,10,3,5,6,4,3,3,8,4,5,10,9,5,10,3,9,9,10,9,9
Old,M. Night Shyama lan,108mn,2021,3,6,6,5,7,9,6,6,8,4,3,4,5,8,8,3,5,5,5,3
Midsommar,Ari Aster,148mn,2019,4,6,4,4,10,7,6,10,3,8,7,6,7,6,3,6,8,5,5,8
The Black Phone,Scott Derrickson,103mn,2021,10,7,5,10,3,4,9,6,3,10,3,7,3,10,4,5,3,4,8,3
