Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
80 for Brady,Kyle Marvin,98 min,2023,3,5,9,3,7,9,5,5,5,10,7,7,8,3,6,5,5,3,8,9
True Spirit,Sarah Spillane,109 min,2023,7,7,4,8,8,6,9,3,10,3,3,3,9,8,3,8,5,5,3,3
Creed III,Michael B. Jordan,116 min,2023,9,3,7,6,3,5,10,7,8,6,8,3,4,9,8,10,7,10,4,6
Ford v Ferrari,James Mangold,152 min,2019,6,6,9,5,6,10,6,8,9,6,5,10,3,4,4,5,9,5,7,6
Rocky,John G. Avildsen,120 min,1976,7,3,7,10,4,4,3,10,4,9,3,10,4,5,9,7,10,3,9,10
Happy Gilmore,Dennis Dugan,92 min,1996,4,10,3,9,6,7,4,8,9,4,3,7,10,4,10,9,4,4,7,8
White Men Can't Jump,Calmatic,101 min,2023,3,3,6,4,4,5,7,3,3,5,7,9,7,8,10,9,4,8,7,6
Cars,"John Lasseter, 
Joe Ranft",117 min,2006,3,10,4,7,8,4,8,7,10,5,6,10,7,10,3,10,5,9,7,10
Hustle,Jeremiah Zagar,117 min,2022,10,3,6,7,10,4,7,9,7,7,5,8,10,9,4,3,5,7,6,10
Slap Shot,George Roy Hill,123 min,1977,7,3,6,8,6,4,10,10,8,9,3,9,9,6,3,3,4,3,5,10
The Swimmers,Sally El Hosaini,134 min,2022,7,3,7,10,7,5,10,6,5,3,5,3,6,5,9,8,4,8,5,3
The Longest Yard,Peter Segal,113 min,2005,7,10,4,10,4,10,4,7,5,5,9,7,5,9,5,6,7,4,5,6
Creed,Ryan Coogler,133 min,2015,5,7,8,5,5,10,3,3,6,7,6,9,9,5,7,3,3,9,6,4
Moneyball,Bennett Miller,133 min,2011,3,3,6,5,7,4,4,9,3,5,7,4,4,4,8,7,10,8,4,10
Jerry Maguire,Cameron Crowe,139 min,1996,3,10,3,3,3,4,5,9,6,9,7,9,8,9,6,5,6,5,5,8
Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,George Tillman Jr.,129 min,2023,5,4,10,7,6,4,7,10,9,5,7,6,5,4,9,8,5,5,9,8
She's the Man,Andy Fickman,105 min,2006,10,6,10,6,5,6,4,6,4,10,8,5,3,10,8,3,10,5,6,9
Warrior,Gavin O'Connor,140 min,2011,8,9,3,3,10,3,3,6,4,6,3,10,5,6,4,10,7,9,6,10
The Karate Kid,John G. Avildsen,126 min,1984,7,3,9,3,10,6,4,5,6,8,6,10,5,6,7,6,7,8,9,10
Creed II,Steven Caple Jr.,130 min,2018,6,4,3,9,6,6,10,8,9,4,6,9,3,3,5,6,8,4,7,10
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,108 min,2006,7,10,6,4,6,7,4,3,8,4,10,7,9,4,8,9,6,6,6,7
The Blind Side,John Lee Hancock,129 min,2009,4,6,7,10,8,6,3,10,5,7,7,9,10,4,6,4,7,9,6,4
Remember the Titans,Boaz Yakin,113 min,2000,6,6,5,10,7,5,7,6,5,5,4,9,4,4,9,3,8,10,8,9
Major League,David S. Ward,107 min,1989,3,4,4,8,3,10,5,6,6,9,3,7,6,7,5,8,4,8,9,4
White Men Can't Jump,Ron Shelton,115 min,1992,3,3,8,9,10,10,5,5,6,4,4,6,6,4,10,6,3,4,9,6
42,Brian Helgeland,128 min,2013,7,5,8,10,8,9,4,6,4,3,5,4,3,5,8,9,9,10,8,6
Dodgeball: A True Underdog Story,Rawson Marshall Thurber,92 min,2004,6,9,9,5,5,4,10,3,10,9,4,4,10,10,5,7,6,7,4,9
"I, Tonya",Craig Gillespie,119 min,2017,8,5,10,3,5,9,10,8,6,7,10,8,7,8,10,7,7,3,9,8
A League of Their Own,Penny Marshall,128 min,1992,7,4,5,4,4,5,9,3,5,3,10,4,5,8,8,7,10,3,9,7
Molly's Game,Aaron Sorkin,140 min,2017,3,4,4,3,8,10,3,4,9,9,9,5,4,4,9,6,9,9,3,4
Unbroken,Angelina Jolie,137 min,2014,9,9,5,9,5,8,8,10,7,4,3,8,8,3,6,6,9,3,7,6
The Waterboy,Frank Coraci,90 min,1998,9,10,4,9,7,7,7,10,9,4,9,7,5,7,3,3,6,8,4,5
Rocky IV,Sylvester Stallone,91 min,1985,8,9,8,9,6,5,7,8,3,3,9,6,5,5,3,9,10,6,6,7
Coach Carter,Thomas Carter,136 min,2005,3,8,3,5,7,8,10,3,10,6,8,3,6,10,8,10,3,5,6,9
Rocky Balboa,Sylvester Stallone,102 min,2006,5,8,5,7,10,4,10,9,9,6,3,10,9,7,4,3,4,3,7,8
Champions,Bobby Farrelly,123 min,2023,5,8,3,7,7,5,10,8,8,10,6,5,5,9,4,3,4,8,9,9
Kingpin,"Bobby Farrelly, 
Peter Farrelly",114 min,1996,10,4,3,8,7,10,3,6,6,10,5,8,4,7,10,9,5,5,7,8
Chariots of Fire,Hugh Hudson,125 min,1981,7,7,4,4,9,3,6,4,3,10,4,4,10,9,4,6,6,5,8,9
Rush,Ron Howard,123 min,2013,4,7,4,8,7,8,6,9,7,4,6,5,6,9,7,3,10,9,4,6
The Wrestler,Darren Aronofsky,109 min,2008,6,10,3,6,10,5,8,6,8,6,6,8,6,3,7,9,9,7,5,5
Bring It On,Peyton Reed,98 min,2000,8,8,5,10,3,7,5,8,9,6,5,6,9,7,9,3,10,7,3,6
