Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Black Panther: Wakanda Forever,Ryan Coogler,161 min,2022,10,3,3,7,4,7,10,7,3,3,4,5,8,9,8,6,9,5,6,8
Knock at the Cabin,M. Night Shyamalan,100 min,2023,4,10,10,4,5,6,9,8,3,4,8,6,8,8,3,7,10,9,7,5
Plane,Jean-François Richet,107 min,2023,4,8,4,5,6,7,5,4,6,9,9,6,7,4,6,7,9,7,9,3
The Menu,Mark Mylod,107 min,2022,4,8,6,10,3,10,4,3,6,10,4,8,10,8,7,6,7,5,7,4
Fast X,Louis Leterrier,141 min,2023,10,5,8,9,10,3,5,8,6,8,8,3,7,8,5,5,3,4,3,9
M3GAN,Gerard Johnstone,102 min,2022,5,4,10,3,7,8,10,3,7,7,10,7,9,10,7,3,7,4,3,7
Ant-Man and the Wasp: Quantumania,Peyton Reed,125 min,2023,10,4,6,3,7,8,4,9,3,9,8,4,3,9,9,8,9,3,10,5
Bullet Train,David Leitch,127 min,2022,9,5,9,3,4,10,8,7,8,4,8,6,3,6,9,6,4,7,3,4
Glass Onion,Rian Johnson,139 min,2022,4,9,9,8,3,6,5,8,4,6,6,7,5,9,7,7,3,4,4,7
Viking Wolf,Stig Svendsen,97 min,2022,7,7,10,10,4,10,4,9,10,9,3,8,8,8,9,3,7,10,5,3
Infinity Pool,Brandon Cronenberg,117 min,2023,8,5,6,7,10,7,4,5,10,7,9,3,5,7,4,6,8,10,6,6
Scream VI,Matt Bettinelli-Olpin,123 min,2023,6,3,7,10,7,3,8,4,4,10,5,6,10,10,9,8,4,6,4,3
Cocaine Bear,Elizabeth Banks,95 min,2023,8,10,10,6,4,3,10,10,7,8,3,6,4,7,4,10,10,8,6,4
The Pale Blue Eye,Scott Cooper,128 min,2022,4,7,9,10,7,6,8,7,6,10,4,10,6,7,3,10,5,9,5,6
Pathaan,Siddharth Anand,146 min,2023,4,7,9,5,4,9,6,7,10,5,10,5,9,3,7,6,4,8,6,10
X,Ti West,105 min,2022,7,5,5,6,6,3,9,4,9,6,4,10,10,8,9,6,3,6,6,9
"Alice, Darling",Mary Nighy,89 min,2022,7,8,9,3,4,4,6,4,4,7,6,10,6,10,8,7,5,8,7,4
Teen Wolf: The Movie,Russell Mulcahy,140 min,2023,3,10,10,9,4,5,9,4,4,7,4,10,5,9,8,6,3,7,10,5
