Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
All Quiet on the Western Front,Edward Berger,148 min,2022,4,6,6,3,9,9,6,9,9,10,5,3,6,3,8,8,10,3,5,7
Jojo Rabbit,Taika Waititi,108 min,2019,10,9,7,9,7,9,6,8,5,8,8,5,4,9,6,4,10,5,9,9
Devotion,J.D. Dillard,139 min,2022,9,10,10,8,4,8,10,10,7,9,3,4,10,8,10,10,5,4,8,10
Narvik: Hitler's First Defeat,Erik Skjoldbj�rg,108 min,2022,6,10,8,4,10,7,4,4,4,5,3,5,7,10,3,9,9,5,9,7
The Expendables 4,Scott Waugh,103 min,2023,3,5,3,7,10,6,6,5,4,4,3,10,9,10,4,3,10,10,3,3
Inglourious Basterds,Quentin Tarantino,153 min,2009,10,6,4,6,6,5,6,5,7,7,4,3,9,8,8,7,4,10,8,8
Dunkirk,Christopher Nolan,106 min,2017,3,3,5,7,6,10,7,7,10,3,7,6,4,10,10,9,3,10,4,10
Apocalypse Now,Francis Ford Coppola,147 min,1979,6,9,9,3,6,5,5,10,5,7,6,6,8,10,3,4,3,3,8,9
Edge of Tomorrow,Doug Liman,113 min,2014,8,7,10,8,10,7,9,7,7,4,9,8,7,9,6,5,3,10,9,3
Official Secrets,Sam Mendes,119 min,2019,7,3,10,10,3,10,3,6,8,8,9,5,10,6,9,10,3,10,9,9
Hacksaw Ridge,Mel Gibson,139 min,2016,10,4,5,9,9,4,6,3,6,4,5,9,6,4,6,9,5,7,5,10
The Hunger Games: The Ballad of Songbirds and Snakes,Francis Lawrence,157 min,2023,4,7,10,5,10,3,4,9,3,5,9,8,7,4,7,6,5,5,5,4
Saving Private Ryan,Steven Spielberg,169 min,1998,5,9,9,7,6,10,3,3,8,4,9,5,5,4,3,9,10,5,7,9
Brothers,Jim Sheridan,105 min,2009,5,9,8,5,8,4,7,7,5,5,5,8,9,6,10,7,6,3,10,8
Medieval,Petr Jákl,125 min,2022,5,10,5,5,7,7,6,10,5,8,3,8,10,3,8,4,6,9,5,9
Atonement,Joe Wright,123 min,2007,7,4,3,8,7,5,4,7,3,3,5,10,5,5,3,4,8,4,4,6
Fury,David Ayer,134 min,2014,7,7,7,6,6,7,6,3,7,5,6,9,7,3,3,8,10,9,4,10
